"","X","Rank","Player","Age","Tm","First","Pts.Won","Pts.Max","Share","G","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","season","player_id","poss","mp","raptor_offense","raptor_defense","raptor_total","war_total","war_reg_season","war_playoffs","predator_offense","predator_defense","predator_total","pace_impact"
"196",198,"2","Kevin Durant",24,"OKC",0,765,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291,2013,"duranke01",7080,3604,6.510810064,1.030344845,7.541154908,18.88967471,16.55871957,2.330955138,6.518218092,0.834939125,7.353157217,-0.498705203
"197",199,"3","Carmelo Anthony",28,"NYK",1,475,1210,0.393,67,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184,2013,"anthoca01",5575,2963,3.717960149,-2.082130046,1.635830103,6.619643742,6.362543303,0.257100439,4.352629501,-1.626877025,2.725752476,0.203158611
"198",200,"4","Chris Paul",27,"LAC",0,289,1210,0.239,70,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287,2013,"paulch01",4898,2559,8.042483558,1.289291219,9.331774777,15.78194504,14.3301268,1.451818238,7.819233624,2.108363371,9.927596995,-0.219603224
"199",201,"5","Kobe Bryant",34,"LAL",0,184,1210,0.152,78,38.6,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,10.9,0.174,2013,"bryanko01",5994,3013,4.942640271,-0.860711908,4.081928363,10.50343212,10.50343212,0,4.885836913,-0.567189954,4.318646959,0.010364256
"200",202,"6","Tony Parker",30,"SAS",0,86,1210,0.071,66,32.9,20.3,3,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206,2013,"parketo01",5759,2939,3.94714723,-0.19779406,3.749353169,9.742964022,7.042240226,2.700723796,3.661414114,-0.090833811,3.570580303,-0.851779808
"201",203,"7","Tim Duncan",36,"SAS",0,65,1210,0.054,69,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191,2013,"duncati01",5513,2813,0.009170689,4.409473141,4.418643831,10.25310465,7.587979538,2.665125114,0.398995974,3.670651651,4.069647625,-1.012299307
"202",204,"8","James Harden",23,"HOU",0,33,1210,0.027,78,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206,2013,"hardeja01",6531,3228,5.286034182,-0.760075146,4.525959036,12.01280338,11.26694224,0.745861133,5.362054635,-0.315486471,5.046568164,0.078354501
"203",205,"9","Russell Westbrook",24,"OKC",0,9,1210,0.007,82,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195,2013,"westbru01",5758,2929,5.328726834,0.880025922,6.208752756,13.39910635,13.0153167,0.383789647,5.934396652,1.233395923,7.167792575,-0.008576876
"204",206,"10","Dwyane Wade",31,"MIA",0,5,1210,0.004,69,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192,2013,"wadedw01",6009,3173,3.042603948,1.625155942,4.66775989,12.01830071,9.665333321,2.352967393,3.243893389,1.642375582,4.886268971,-0.305724667
"205",207,"11","Stephen Curry",24,"GSW",0,3,1210,0.002,78,38.2,22.9,4,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18,2013,"curryst01",6924,3480,5.322087718,-0.039084186,5.283003532,14.30827478,11.95157654,2.356698238,5.595118505,0.612572555,6.207691059,-0.181556155
