"","rank","season","player","age","team","fpv","mvppts","ptsmax","share","games","mpg","ppg","rbpg","astpg","stlpg","blkpg","fgp","threepp","ftp","player_id","poss","tmp","rap_o","rap_d","rap_tot","war_tot","war_reg","war_play","pred_o","pred_d","pred_tot","pace_impact","nposts","avg_upvotes","avg_comments","comp","pos","neu","neg"
"39","5",2012,"Tony Parker",29,"SAS",4,331,1210,0.274,60,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,"parketo01",4750,2429,3.854630474,1.241912013,5.096542488,9.705525504,7.850905504,1.85462,3.889174519,1.061178159,4.950352678,-0.695249398,25,445,109,0,0,1,0
"40","6",2012,"Kevin Love",23,"MIN",0,58,1210,0.048,55,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,"loveke01",4217,2145,5.148193527,-0.121748892,5.026444636,8.473368843,8.473368843,0,5.297640155,0.579650198,5.877290353,-0.401603665,25,368,69,0.896,0.241,0.759,0
"41","7",2012,"Dwight Howard",26,"ORL",0,13,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,"howardw01",3882,2070,-0.298883,4.690059134,4.391176134,7.556445782,7.556445782,0,0.287981091,4.638162591,4.926143682,0.178161564,25,630,158,0,0,1,0
"42","8",2012,"Rajon Rondo",25,"BOS",0,12,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,"rondora01",5227,2767,2.874384349,1.432791889,4.307176238,10.05799803,5.954518979,4.103479055,2.81978331,1.674701631,4.49448494,-0.544042742,25,969,88,0.681,0.211,0.789,0
"43","9",2012,"Steve Nash",37,"PHO",0,7,1210,0.006,62,31.6,12.5,3,10.7,0.6,0.1,0.532,0.39,0.894,"nashst01",3827,1961,5.021989062,-1.205816978,3.816172084,6.492730438,6.492730438,0,4.408024782,-1.889583593,2.518441189,-1.078766914,25,1420,111,0.318,0.187,0.813,0
"44","10",2012,"Dwyane Wade",30,"MIA",0,6,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,"wadedw01",4805,2532,4.299322523,2.442983368,6.742305891,12.34222149,8.295466567,4.046754924,4.408232022,2.397469292,6.805701314,-0.19827165,25,880,896,0,0,1,0
"45","11",2012,"Derrick Rose",23,"CHI",0,5,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,"rosede01",2651,1412,5.043827737,-0.037372176,5.006455561,5.563450453,5.420996333,0.14245412,5.197645597,-0.10170084,5.095944757,-0.472799784,25,837,380,-0.226,0,0.863,0.137
"46","12T",2012,"Dirk Nowitzki",33,"DAL",0,4,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,"nowitdi01",4298,2233,2.44098183,0.348885419,2.789867248,6.305778016,5.887256008,0.418522008,2.401078675,0.284666638,2.685745313,-0.265286559,14,196,98,-0.318,0,0.839,0.161
"47","12T",2012,"Russell Westbrook",23,"OKC",0,4,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,"westbru01",6032,3098,4.427224611,0.114132545,4.541357157,11.61815952,8.508281841,3.10987768,5.022908637,0.524944713,5.54785335,-0.03944713,25,371,96,0,0,1,0
"48","14",2012,"Tim Duncan",35,"SAS",0,3,1210,0.002,58,28.2,15.4,9,2.3,0.7,1.5,0.492,0,0.695,"duncati01",4101,2097,0.458033572,4.411248989,4.869282561,8.145940835,5.95339,2.192550834,0.95557168,3.751778095,4.707349775,-0.824534091,25,866,82,0.202,0.087,0.913,0
